round_id,scan_cycle_id,session_id,scan_id,state_label,linked_uav_target,controller_only_target,band,receiver_id,capture_index,center_freq_hz,sample_rate_hz,duration_s,iq_path,iq_format,loaded_seconds,mean_power_db,rms,peak_abs,dc_power_ratio,psd_peak_db,psd_median_db,psd_peak_to_median_db,spectral_entropy,occupied_fraction_6db
p01,p01_phantom_controller_only_phone_connected_full20,p01_phantom_controller_only_phone_connected_full20_b210a_24,p01_phantom_controller_only_phone_connected_full20_b210a_24_phantom_controller_only_phone_connected,phantom_controller_only_phone_connected,0,1,2.4,b210a_24,1,2410000000,20000000,2.000,raw_iq_followup/p01_phantom_controller_only_phone_connected_full20_b210a_24/p01_phantom_controller_only_phone_connected_full20_b210a_24_phantom_controller_only_phone_connected/01_2410.000MHz.cfile,complex_int16_interleaved,0.250000,-17.483701,0.13360261,1.2737834,7.0976449e-07,-83.653535,-96.900082,13.246548,0.908396,0.350098
p01,p01_phantom_controller_only_phone_connected_full20,p01_phantom_controller_only_phone_connected_full20_b210a_24,p01_phantom_controller_only_phone_connected_full20_b210a_24_phantom_controller_only_phone_connected,phantom_controller_only_phone_connected,0,1,2.4,b210a_24,2,2420000000,20000000,2.000,raw_iq_followup/p01_phantom_controller_only_phone_connected_full20_b210a_24/p01_phantom_controller_only_phone_connected_full20_b210a_24_phantom_controller_only_phone_connected/02_2420.000MHz.cfile,complex_int16_interleaved,0.250000,-17.619161,0.13153519,1.4131777,4.8598819e-07,-83.902141,-93.417636,9.515495,0.945929,0.333008
p01,p01_phantom_controller_only_phone_connected_full20,p01_phantom_controller_only_phone_connected_full20_b210a_24,p01_phantom_controller_only_phone_connected_full20_b210a_24_phantom_controller_only_phone_connected,phantom_controller_only_phone_connected,0,1,2.4,b210a_24,3,2430000000,20000000,2.000,raw_iq_followup/p01_phantom_controller_only_phone_connected_full20_b210a_24/p01_phantom_controller_only_phone_connected_full20_b210a_24_phantom_controller_only_phone_connected/03_2430.000MHz.cfile,complex_int16_interleaved,0.250000,-22.029634,0.07916228,1.1762439,4.1821903e-07,-82.374816,-115.806208,33.431392,0.781080,0.097412
p01,p01_phantom_controller_only_phone_connected_full20,p01_phantom_controller_only_phone_connected_full20_b210a_24,p01_phantom_controller_only_phone_connected_full20_b210a_24_phantom_controller_only_phone_connected,phantom_controller_only_phone_connected,0,1,2.4,b210a_24,4,2440000000,20000000,2.000,raw_iq_followup/p01_phantom_controller_only_phone_connected_full20_b210a_24/p01_phantom_controller_only_phone_connected_full20_b210a_24_phantom_controller_only_phone_connected/04_2440.000MHz.cfile,complex_int16_interleaved,0.250000,-54.122258,0.0019673745,0.14452478,0.0012365485,-100.966751,-120.000000,19.033249,0.989819,0.000732
p01,p01_phantom_controller_only_phone_connected_full20,p01_phantom_controller_only_phone_connected_full20_b210a_24,p01_phantom_controller_only_phone_connected_full20_b210a_24_phantom_controller_only_phone_connected,phantom_controller_only_phone_connected,0,1,2.4,b210a_24,5,2450000000,20000000,2.000,raw_iq_followup/p01_phantom_controller_only_phone_connected_full20_b210a_24/p01_phantom_controller_only_phone_connected_full20_b210a_24_phantom_controller_only_phone_connected/05_2450.000MHz.cfile,complex_int16_interleaved,0.250000,-47.822523,0.0040632527,0.065772146,0.00025118084,-101.682088,-120.000000,18.317912,0.984521,0.000732
p01,p01_phantom_controller_only_phone_connected_full20,p01_phantom_controller_only_phone_connected_full20_b210a_24,p01_phantom_controller_only_phone_connected_full20_b210a_24_phantom_controller_only_phone_connected,phantom_controller_only_phone_connected,0,1,2.4,b210a_24,6,2460000000,20000000,2.000,raw_iq_followup/p01_phantom_controller_only_phone_connected_full20_b210a_24/p01_phantom_controller_only_phone_connected_full20_b210a_24_phantom_controller_only_phone_connected/06_2460.000MHz.cfile,complex_int16_interleaved,0.250000,-47.582540,0.004177082,0.036574692,0.00012618254,-104.368250,-120.000000,15.631750,0.986832,0.000732
p01,p01_phantom_controller_only_phone_connected_full20,p01_phantom_controller_only_phone_connected_full20_b210a_24,p01_phantom_controller_only_phone_connected_full20_b210a_24_phantom_controller_only_phone_connected,phantom_controller_only_phone_connected,0,1,2.4,b210a_24,7,2470000000,20000000,2.000,raw_iq_followup/p01_phantom_controller_only_phone_connected_full20_b210a_24/p01_phantom_controller_only_phone_connected_full20_b210a_24_phantom_controller_only_phone_connected/07_2470.000MHz.cfile,complex_int16_interleaved,0.250000,-55.322647,0.0017134347,0.026421826,0.00094618359,-103.603181,-120.000000,16.396819,0.995452,0.000732
p01,p01_phantom_controller_only_phone_connected_full20,p01_phantom_controller_only_phone_connected_full20_b210a_24,p01_phantom_controller_only_phone_connected_full20_b210a_24_phantom_controller_only_phone_connected,phantom_controller_only_phone_connected,0,1,2.4,b210a_24,8,2480000000,20000000,2.000,raw_iq_followup/p01_phantom_controller_only_phone_connected_full20_b210a_24/p01_phantom_controller_only_phone_connected_full20_b210a_24_phantom_controller_only_phone_connected/08_2480.000MHz.cfile,complex_int16_interleaved,0.250000,-55.933865,0.0015970064,0.026400527,0.00091854801,-104.059398,-120.000000,15.940602,0.995957,0.000732
p01,p01_phantom_controller_only_phone_connected_full20,p01_phantom_controller_only_phone_connected_full20_b210b_58,p01_phantom_controller_only_phone_connected_full20_b210b_58_phantom_controller_only_phone_connected,phantom_controller_only_phone_connected,0,1,5.8,b210b_58,1,5735000000,20000000,2.000,raw_iq_followup/p01_phantom_controller_only_phone_connected_full20_b210b_58/p01_phantom_controller_only_phone_connected_full20_b210b_58_phantom_controller_only_phone_connected/01_5735.000MHz.cfile,complex_int16_interleaved,0.250000,-48.864904,0.0036037511,0.042968795,0.00029654443,-99.627850,-120.000000,20.372150,0.919147,0.004150
p01,p01_phantom_controller_only_phone_connected_full20,p01_phantom_controller_only_phone_connected_full20_b210b_58,p01_phantom_controller_only_phone_connected_full20_b210b_58_phantom_controller_only_phone_connected,phantom_controller_only_phone_connected,0,1,5.8,b210b_58,2,5745000000,20000000,2.000,raw_iq_followup/p01_phantom_controller_only_phone_connected_full20_b210b_58/p01_phantom_controller_only_phone_connected_full20_b210b_58_phantom_controller_only_phone_connected/02_5745.000MHz.cfile,complex_int16_interleaved,0.250000,-46.779396,0.0045817375,0.046813458,0.00010940915,-100.873373,-120.000000,19.126627,0.903048,0.011230
p01,p01_phantom_controller_only_phone_connected_full20,p01_phantom_controller_only_phone_connected_full20_b210b_58,p01_phantom_controller_only_phone_connected_full20_b210b_58_phantom_controller_only_phone_connected,phantom_controller_only_phone_connected,0,1,5.8,b210b_58,3,5755000000,20000000,2.000,raw_iq_followup/p01_phantom_controller_only_phone_connected_full20_b210b_58/p01_phantom_controller_only_phone_connected_full20_b210b_58_phantom_controller_only_phone_connected/03_5755.000MHz.cfile,complex_int16_interleaved,0.250000,-47.161650,0.0043844741,0.043159623,5.3284441e-05,-101.025447,-120.000000,18.974553,0.909839,0.009277
p01,p01_phantom_controller_only_phone_connected_full20,p01_phantom_controller_only_phone_connected_full20_b210b_58,p01_phantom_controller_only_phone_connected_full20_b210b_58_phantom_controller_only_phone_connected,phantom_controller_only_phone_connected,0,1,5.8,b210b_58,4,5765000000,20000000,2.000,raw_iq_followup/p01_phantom_controller_only_phone_connected_full20_b210b_58/p01_phantom_controller_only_phone_connected_full20_b210b_58_phantom_controller_only_phone_connected/04_5765.000MHz.cfile,complex_int16_interleaved,0.250000,-49.214237,0.0034616897,0.035654996,0.00021467742,-101.079543,-120.000000,18.920457,0.941825,0.004639
p01,p01_phantom_controller_only_phone_connected_full20,p01_phantom_controller_only_phone_connected_full20_b210b_58,p01_phantom_controller_only_phone_connected_full20_b210b_58_phantom_controller_only_phone_connected,phantom_controller_only_phone_connected,0,1,5.8,b210b_58,5,5775000000,20000000,2.000,raw_iq_followup/p01_phantom_controller_only_phone_connected_full20_b210b_58/p01_phantom_controller_only_phone_connected_full20_b210b_58_phantom_controller_only_phone_connected/05_5775.000MHz.cfile,complex_int16_interleaved,0.250000,-51.953321,0.0025254218,0.025008574,0.0002633571,-105.364725,-120.000000,14.635275,0.978937,0.007812
p01,p01_phantom_controller_only_phone_connected_full20,p01_phantom_controller_only_phone_connected_full20_b210b_58,p01_phantom_controller_only_phone_connected_full20_b210b_58_phantom_controller_only_phone_connected,phantom_controller_only_phone_connected,0,1,5.8,b210b_58,6,5785000000,20000000,2.000,raw_iq_followup/p01_phantom_controller_only_phone_connected_full20_b210b_58/p01_phantom_controller_only_phone_connected_full20_b210b_58_phantom_controller_only_phone_connected/06_5785.000MHz.cfile,complex_int16_interleaved,0.250000,-52.261527,0.002437382,0.024499457,0.00031893935,-105.083699,-120.000000,14.916301,0.982067,0.006592
p01,p01_phantom_controller_only_phone_connected_full20,p01_phantom_controller_only_phone_connected_full20_b210b_58,p01_phantom_controller_only_phone_connected_full20_b210b_58_phantom_controller_only_phone_connected,phantom_controller_only_phone_connected,0,1,5.8,b210b_58,7,5795000000,20000000,2.000,raw_iq_followup/p01_phantom_controller_only_phone_connected_full20_b210b_58/p01_phantom_controller_only_phone_connected_full20_b210b_58_phantom_controller_only_phone_connected/07_5795.000MHz.cfile,complex_int16_interleaved,0.250000,-50.561786,0.0029642215,0.029084837,0.00013238178,-104.776473,-120.000000,15.223527,0.967610,0.009521
