timing_id,timestamp_utc,session_prefix,state_label,scan_kind,wall_clock_s,receiver24_elapsed_s,receiver58_elapsed_s,receiver24_exit_status,receiver58_exit_status,grid24,grid58,out_dir,metadata_csv,rate_hz,gain_db,duration_s,stream_args,retry_on_runtime_issue,capture_host,notes
p01_phantom_controller_only_phone_connected_full20,2026-05-22T16:29:24Z,p01_phantom_controller_only_phone_connected,phantom_controller_only_phone_connected,full20,125.154,48.977,125.153,0,0,configs/frequency_grid_24.csv,configs/frequency_grid_58.csv,raw_iq_followup,raw_iq_followup/linkscan_manifest_followup.csv,20000000,25,2,spp=2000,5,x-l-r329-n02782,phantom_controller_only_phone_connected_aircraft_off
p01_phantom_linked_phone_connected_full20,2026-05-22T16:33:16Z,p01_phantom_linked_phone_connected,phantom_linked_phone_connected,full20,68.971,37.461,68.970,0,0,configs/frequency_grid_24.csv,configs/frequency_grid_58.csv,raw_iq_followup,raw_iq_followup/linkscan_manifest_followup.csv,20000000,25,2,spp=2000,5,x-l-r329-n02782,phantom_linked_phone_connected_video_active
p02_phantom_controller_only_phone_connected_full20,2026-05-22T16:35:20Z,p02_phantom_controller_only_phone_connected,phantom_controller_only_phone_connected,full20,69.425,47.546,69.425,0,0,configs/frequency_grid_24.csv,configs/frequency_grid_58.csv,raw_iq_followup,raw_iq_followup/linkscan_manifest_followup.csv,20000000,25,2,spp=2000,5,x-l-r329-n02782,phantom_controller_only_phone_connected_aircraft_off
p02_phantom_linked_phone_connected_full20,2026-05-22T16:38:25Z,p02_phantom_linked_phone_connected,phantom_linked_phone_connected,full20,75.266,37.524,75.265,0,0,configs/frequency_grid_24.csv,configs/frequency_grid_58.csv,raw_iq_followup,raw_iq_followup/linkscan_manifest_followup.csv,20000000,25,2,spp=2000,5,x-l-r329-n02782,phantom_linked_phone_connected_video_active
p03_phantom_controller_only_phone_connected_full20,2026-05-22T16:40:08Z,p03_phantom_controller_only_phone_connected,phantom_controller_only_phone_connected,full20,75.356,37.119,75.355,0,0,configs/frequency_grid_24.csv,configs/frequency_grid_58.csv,raw_iq_followup,raw_iq_followup/linkscan_manifest_followup.csv,20000000,25,2,spp=2000,5,x-l-r329-n02782,phantom_controller_only_phone_connected_aircraft_off
p03_phantom_linked_phone_connected_full20,2026-05-22T16:42:16Z,p03_phantom_linked_phone_connected,phantom_linked_phone_connected,full20,76.080,42.171,76.080,0,0,configs/frequency_grid_24.csv,configs/frequency_grid_58.csv,raw_iq_followup,raw_iq_followup/linkscan_manifest_followup.csv,20000000,25,2,spp=2000,5,x-l-r329-n02782,phantom_linked_phone_connected_video_active
p04_phantom_controller_only_phone_connected_full20,2026-05-22T16:45:31Z,p04_phantom_controller_only_phone_connected,phantom_controller_only_phone_connected,full20,75.496,48.225,75.496,0,0,configs/frequency_grid_24.csv,configs/frequency_grid_58.csv,raw_iq_followup,raw_iq_followup/linkscan_manifest_followup.csv,20000000,25,2,spp=2000,5,x-l-r329-n02782,phantom_controller_only_phone_connected_aircraft_off
p04_phantom_linked_phone_connected_full20,2026-05-22T16:47:29Z,p04_phantom_linked_phone_connected,phantom_linked_phone_connected,full20,100.862,52.460,100.861,0,0,configs/frequency_grid_24.csv,configs/frequency_grid_58.csv,raw_iq_followup,raw_iq_followup/linkscan_manifest_followup.csv,20000000,25,2,spp=2000,5,x-l-r329-n02782,phantom_linked_phone_connected_video_active
p05_phantom_controller_only_phone_connected_full20,2026-05-22T16:50:10Z,p05_phantom_controller_only_phone_connected,phantom_controller_only_phone_connected,full20,81.892,47.668,81.892,0,0,configs/frequency_grid_24.csv,configs/frequency_grid_58.csv,raw_iq_followup,raw_iq_followup/linkscan_manifest_followup.csv,20000000,25,2,spp=2000,5,x-l-r329-n02782,phantom_controller_only_phone_connected_aircraft_off
p05_phantom_linked_phone_connected_full20,2026-05-22T16:52:24Z,p05_phantom_linked_phone_connected,phantom_linked_phone_connected,full20,69.451,37.447,69.450,0,0,configs/frequency_grid_24.csv,configs/frequency_grid_58.csv,raw_iq_followup,raw_iq_followup/linkscan_manifest_followup.csv,20000000,25,2,spp=2000,5,x-l-r329-n02782,phantom_linked_phone_connected_video_active
