round_id,scan_cycle_id,session_id,scan_id,state_label,linked_uav_target,controller_only_target,band,receiver_id,capture_index,center_freq_hz,sample_rate_hz,duration_s,iq_path,iq_format,loaded_seconds,mean_power_db,rms,peak_abs,dc_power_ratio,psd_peak_db,psd_median_db,psd_peak_to_median_db,spectral_entropy,occupied_fraction_6db
r01,r01_ambient,r01_ambient_b210a_24,r01_ambient_b210a_24_ambient,ambient,0,0,2.4,b210a_24,1,2410000000,20000000,2,raw_iq/r01_ambient_b210a_24/r01_ambient_b210a_24_ambient/01_2410.000MHz.cfile,complex_int16_interleaved,0.250000,-38.913303,0.011332738,0.13615382,3.4349942e-05,-101.614676,-120.000000,18.385324,0.899722,0.147217
r01,r01_ambient,r01_ambient_b210a_24,r01_ambient_b210a_24_ambient,ambient,0,0,2.4,b210a_24,2,2420000000,20000000,2,raw_iq/r01_ambient_b210a_24/r01_ambient_b210a_24_ambient/02_2420.000MHz.cfile,complex_int16_interleaved,0.250000,-37.015791,0.014099719,0.12637776,1.1009233e-05,-101.375348,-117.610092,16.234743,0.898322,0.207275
r01,r01_ambient,r01_ambient_b210a_24,r01_ambient_b210a_24_ambient,ambient,0,0,2.4,b210a_24,3,2430000000,20000000,2,raw_iq/r01_ambient_b210a_24/r01_ambient_b210a_24_ambient/03_2430.000MHz.cfile,complex_int16_interleaved,0.250000,-29.974306,0.031716458,0.33343831,1.0068593e-06,-93.626246,-113.754504,20.128258,0.884855,0.191895
r01,r01_ambient,r01_ambient_b210a_24,r01_ambient_b210a_24_ambient,ambient,0,0,2.4,b210a_24,4,2440000000,20000000,2,raw_iq/r01_ambient_b210a_24/r01_ambient_b210a_24_ambient/04_2440.000MHz.cfile,complex_int16_interleaved,0.250000,-29.592990,0.033139845,0.33561602,2.8013299e-06,-94.058692,-109.344263,15.285571,0.892359,0.229492
r01,r01_ambient,r01_ambient_b210a_24,r01_ambient_b210a_24_ambient,ambient,0,0,2.4,b210a_24,5,2450000000,20000000,2,raw_iq/r01_ambient_b210a_24/r01_ambient_b210a_24_ambient/05_2450.000MHz.cfile,complex_int16_interleaved,0.250000,-33.719109,0.020608413,0.12816486,8.8832887e-06,-99.470168,-110.302273,10.832106,0.917968,0.308838
r01,r01_ambient,r01_ambient_b210a_24,r01_ambient_b210a_24_ambient,ambient,0,0,2.4,b210a_24,6,2460000000,20000000,2,raw_iq/r01_ambient_b210a_24/r01_ambient_b210a_24_ambient/06_2460.000MHz.cfile,complex_int16_interleaved,0.250000,-33.833760,0.020338175,0.11342458,7.4765725e-06,-97.478929,-112.316830,14.837900,0.901665,0.198730
r01,r01_ambient,r01_ambient_b210a_24,r01_ambient_b210a_24_ambient,ambient,0,0,2.4,b210a_24,7,2470000000,20000000,2,raw_iq/r01_ambient_b210a_24/r01_ambient_b210a_24_ambient/07_2470.000MHz.cfile,complex_int16_interleaved,0.250000,-46.297747,0.0048429798,0.032982994,0.00017758107,-101.861759,-120.000000,18.138241,0.937523,0.000977
r01,r01_ambient,r01_ambient_b210a_24,r01_ambient_b210a_24_ambient,ambient,0,0,2.4,b210a_24,8,2480000000,20000000,2,raw_iq/r01_ambient_b210a_24/r01_ambient_b210a_24_ambient/08_2480.000MHz.cfile,complex_int16_interleaved,0.250000,-55.417882,0.0016947507,0.025323652,0.0011867886,-102.581893,-120.000000,17.418107,0.993502,0.000732
r01,r01_ambient,r01_ambient_b210b_58,r01_ambient_b210b_58_ambient,ambient,0,0,5.8,b210b_58,1,5735000000,20000000,2,raw_iq/r01_ambient_b210b_58/r01_ambient_b210b_58_ambient/01_5735.000MHz.cfile,complex_int16_interleaved,0.250000,-54.762696,0.0018275325,0.045368146,0.0012133442,-101.652086,-120.000000,18.347914,0.991655,0.000732
r01,r01_ambient,r01_ambient_b210b_58,r01_ambient_b210b_58_ambient,ambient,0,0,5.8,b210b_58,2,5745000000,20000000,2,raw_iq/r01_ambient_b210b_58/r01_ambient_b210b_58_ambient/02_5745.000MHz.cfile,complex_int16_interleaved,0.250000,-51.368472,0.002701322,0.068054408,0.0006337491,-101.018349,-120.000000,18.981651,0.989855,0.000732
